data/text/trainers.inc:1367:	.string "touch it.$"
data/text/trainers.inc:1751:	.string "Battle with me so I can stay awake.$"
data/text/trainers.inc:2619:	.string "Take your marks!\n"
data/text/trainers.inc:3181:	.string "Your POKéMON prowess is remarkable.\n"
data/text/trainers.inc:4206:	.string "road to become the POKéMON CHAMPION\l"
data/text/trainers.inc:4367:	.string "the POKéMON CHAMPION.$"
data/scripts/contest_hall.inc:1700:	.string "E-MODE (CHAMPIONS MODE) is for\n"
data/scripts/contest_hall.inc:1715:	.string "In E-MODE (CHAMPIONS MODE),\n"
data/scripts/secret_power_tm.inc:9:	.string "Look for marked trees, thick\n"
data/text/move_tutors.inc:120:	.string "POWER to stay awake.\p"
data/text/move_tutors.inc:127:	.string "Oh, fine, fine. You want to stay awake\n"
data/scripts/flavor_text.inc:203:	.string "It's a cup with a POKéMON mark\n"
data/scripts/secret_base.inc:695:	.string "A shield of {STR_VAR_2} that marks winning\n"
data/scripts/secret_base.inc:723:	.string "TENT or the CHAMPIONS CIRCUIT.$"
data/scripts/mauville_man.inc:494:	.string "can't leave a stone unsmashed!$"
data/scripts/mauville_man.inc:675:	.string "{STR_VAR_3} must love inspecting\n"
data/text/berries.inc:120:	.string "Ah! What a remarkable saying!\n"
data/text/berries.inc:126:	.string "You're quite remarkable.\p"
data/scripts/debug.inc:709:	.string "champion of the ennui scampi and shiite.\l"
data/scripts/champions_tent.inc:80:	.string "CHAMPIONS CIRCUIT.$"
data/scripts/berry_blender.inc:25:	.string "your marker, just press the A Button.\p"
data/scripts/berry_blender.inc:89:	.string "reaches your marker, just press\l"
data/scripts/berry_blender.inc:139:	.string "your marker, press the A Button.\p"
data/text/pokedex_rating.inc:52:	.string "Your talent is remarkable!$"
data/text/blend_master.inc:35:	.string "your marker, just press the A Button.\p"
data/text/match_call.inc:1640:	.string "You became the champion at\n"
data/text/match_call.inc:1651:	.string "become a champion?$"
data/text/match_call.inc:1665:	.string "I heard you became the champion\n"
data/text/match_call.inc:1682:	.string "the champion {STR_VAR_3} times at\l"
data/text/match_call.inc:1731:	.string "a champion?\p"
data/text/match_call.inc:1856:	.string "a champion?\p"
data/text/match_call.inc:1982:	.string "a champion?\p"
data/text/match_call.inc:2147:	.string "When the GYM's ready, a mark will\n"
data/text/match_call.inc:2171:	.string "News about the new CHAMPION\n"
data/text/match_call.inc:2195:	.string "TATE: A mark'll appear by our name…\n"
data/text/match_call.inc:2205:	.string "TATE: A mark'll appear by our name…\n"
data/text/match_call.inc:2282:	.string "The CHAMPIONS CIRCUIT tests how\n"
data/text/match_call.inc:2298:	.string "rare stones.\p"
data/text/match_call.inc:2301:	.string "But what is a rare stone exactly?\n"
data/text/match_call.inc:2691:	.string "visit the CHAMPIONS CIRCUIT at the\l"
data/text/match_call.inc:2752:	.string "the POKéMON LEAGUE CHAMPION…\p"
data/text/tv.inc:781:	.string "“{STR_VAR_3}”--now that is remarkably good!$"
data/text/tv.inc:1156:	.string "That remarkable feat must have been\n"
data/text/tv.inc:1478:	.string "How remarkable!\p"
data/text/tv.inc:1705:	.string "is hot! Like, too hot to touch, yow!\p"
data/text/tv.inc:1772:	.string "The CHAMPION RIBBON is especially\n"
data/text/tv.inc:1914:	.string "{STR_VAR_2}-championship-streak record\l"
data/text/tv.inc:1921:	.string "{STR_VAR_2}-championship-streak record\l"
data/text/tv.inc:2176:	.string "The visitor is touching it!\p"
data/text/tv.inc:2899:	.string "The timing of item usage was remarkably\n"
data/text/apprentice.inc:428:	.string "I look, I'm the POKéMON CHAMPION!\l"
data/text/apprentice.inc:1112:	.string "Don't touch it, please!\p"
data/maps/CeladonCity_House1_Frlg/scripts.inc:28:	.string "Don't touch the poster at the GAME\n"
data/text/trainers_frlg.inc:899:	.string "mysterious stones on this island.\p"
data/text/trainers_frlg.inc:980:	.string "this stone chamber?$"
data/maps/LavenderTown_VolunteerPokemonHouse_Frlg/scripts.inc:127:	.string "sleeping POKéMON will spring awake.\p"
data/maps/FortreeCity_Gym/scripts.inc:142:	.string "Yo, how's it going, CHAMPION-\n"
data/maps/FortreeCity_Gym/scripts.inc:258:	.string "Let it hold the stone in battle.$"
data/maps/FortreeCity_Gym/scripts.inc:296:	.string "the reigning CHAMPION.\p"
data/maps/FortreeCity_Gym/scripts.inc:316:	.string "the reigning CHAMPION.\p"
data/maps/Route123_BerryMastersHouse/scripts.inc:94:	.string "Each stone costs {STR_VAR_2} garden berries.\n"
data/maps/Route123_BerryMastersHouse/scripts.inc:95:	.string "You have {STR_VAR_1}. One of each stone!$"
data/maps/Route123_BerryMastersHouse/scripts.inc:113:	.string "I found these stones while digging.\n"
data/maps/MauvilleCity_Gym/scripts.inc:274:	.string "Hey, how's it going, CHAMPION-\n"
data/maps/MauvilleCity_Gym/scripts.inc:387:	.string "Let it hold the stone in battle.$"
data/maps/CeruleanCity_Frlg/scripts.inc:512:	.string "CHAMPION for starters.\p"
data/maps/Route3_Frlg/scripts.inc:103:	.string "Did you touch me?$"
data/maps/RustboroCity_DevonCorp_3F/scripts.inc:262:	.string "you in touch with key Trainers.\p"
data/maps/RustboroCity_DevonCorp_3F/scripts.inc:293:	.string "This stone was found above\n"
data/maps/RustboroCity_DevonCorp_3F/scripts.inc:299:	.string "Evolve when it holds the stone and\l"
data/maps/RustboroCity_DevonCorp_3F/scripts.inc:353:	.string "stones assembled by the PRESIDENT.$"
data/maps/SevenIsland_TanobyRuins_Frlg/scripts.inc:6:	.string "stone chamber?$"
data/maps/BattleFrontier_RankingHall/scripts.inc:98:	.string "Today's boards show CHAMPIONS\n"
data/maps/BattleFrontier_RankingHall/scripts.inc:102:	.string "CHAMPIONS CIRCUIT RECORDS Current\n"
data/maps/BattleFrontier_RankingHall/scripts.inc:105:	.string "CHAMPIONS CIRCUIT RECORDS Current\n"
data/maps/SlateportCity_BattleTentLobby/scripts.inc:316:	.string "the CHAMPIONS CIRCUIT. You return\l"
data/maps/TrainerHill_Entrance/scripts.inc:316:	.string "On your marks…\p"
data/maps/MauvilleCity_House2/scripts.inc:91:	.string "Take this stone. A strong partner\n"
data/maps/SootopolisCity_Mart/scripts.inc:74:	.string "Did something awaken?$"
data/maps/LilycoveCity_LilycoveMuseum_1F/scripts.inc:230:	.string "a black stone.\p"
data/maps/LilycoveCity_LilycoveMuseum_1F/scripts.inc:235:	.string "It's a huge stone tablet inscribed\n"
data/maps/TrainerTower_Lobby_Frlg/scripts.inc:247:	.string "On your marks…\p"
data/maps/BattleFrontier_OutsideWest/scripts.inc:310:	.string "CHAMPIONS CIRCUIT RECEPTION\n"
data/maps/BattleFrontier_OutsideWest/scripts.inc:314:	.string "The CHAMPIONS CIRCUIT holds its\l"
data/maps/RustboroCity_DevonCorp_2F/scripts.inc:199:	.string "sealed mechanical prototype!\p"
data/maps/RustboroCity_DevonCorp_2F/scripts.inc:200:	.string "MAGEARNA awakens and joins your party.$"
data/maps/RustboroCity_DevonCorp_2F/scripts.inc:204:	.string "sealed mechanical prototype!\p"
data/maps/RustboroCity_DevonCorp_2F/scripts.inc:205:	.string "MAGEARNA awakens and is sent to\n"
data/maps/RustboroCity_DevonCorp_2F/scripts.inc:209:	.string "The sealed prototype answers DIANCIE,\n"
data/maps/RustboroCity_DevonCorp_2F/scripts.inc:717:	.string "This stone responds to Magearna.\n"
data/maps/SlateportCity_OceanicMuseum_1F/scripts.inc:367:	.string "“The flowing seawater marks the soil\n"
data/maps/SlateportCity_OceanicMuseum_1F/scripts.inc:370:	.string "called a ripple mark.”$"
data/maps/Route111_WinstrateFamilysHouse/scripts.inc:69:	.string "a chance to rest. That's remarkable!\p"
data/maps/Route111_WinstrateFamilysHouse/scripts.inc:91:	.string "LEAGUE CHAMPION by now.\p"
data/maps/Route111_WinstrateFamilysHouse/scripts.inc:93:	.string "CHAMPION already!$"
data/maps/Route111_WinstrateFamilysHouse/scripts.inc:97:	.string "POKéMON LEAGUE CHAMPION by now.\p"
data/maps/Route111_WinstrateFamilysHouse/scripts.inc:99:	.string "CHAMPION already!$"
data/maps/LilycoveCity_DepartmentStore_4F/scripts.inc:52:	.string "stone from your adventure.$"
data/maps/VerdanturfTown_BattleTentLobby/scripts.inc:388:	.string "the CHAMPIONS CIRCUIT. You return\l"
data/maps/ViridianCity_School_Frlg/scripts.inc:160:	.string "Use AWAKENING to awaken one\n"
data/maps/SSTidalCorridor/scripts.inc:260:	.string "go in the CHAMPIONS CIRCUIT.\p"
data/maps/DewfordTown_House2/scripts.inc:65:	.string "this stone could make it stronger!$"
data/maps/DewfordTown_House2/scripts.inc:82:	.string "This stone is for its grown form.$"
data/maps/LavaridgeTown_Gym_1F/scripts.inc:340:	.string "Let it hold the stone in battle.$"
data/maps/RustboroCity/scripts.inc:1212:	.string "get in touch anytime!\p"
data/maps/Route104/scripts.inc:1115:	.string "POKéNAVS so we can keep in touch.$"
data/maps/SootopolisCity/scripts.inc:1525:	.string "The clash between the two awakened\n"
data/maps/SootopolisCity/scripts.inc:1526:	.string "POKéMON was quelled by the awakening\l"
data/maps/SootopolisCity/scripts.inc:1623:	.string "awakened.\p"
data/maps/DewfordManor_1F/scripts.inc:16:	.string "The researchers found that a stone is\n"
data/maps/MossdeepCity_StevensHouse/scripts.inc:219:	.string "stones assembled by STEVEN.$"
data/maps/FortreeCity_House3/scripts.inc:16:	.string "I was searching for rare stones.\p"
data/maps/MagmaHideout_4F/scripts.inc:231:	.string "BLUE ORB was supposed to awaken\l"
data/maps/PetalburgCity_Gym/scripts.inc:1292:	.string "Evolve. Let it hold the stone in\l"
data/maps/PetalburgCity_Gym/scripts.inc:1324:	.string "Welcome, CHAMPION-bound {PLAYER}!\p"
